NOMOD,MINOR,MAJOR
22534844,22536241,22528875
22534858,22536253,22528889
22534901,22536267,22528893
22534912,22536282,22528898
22534921,22536283,22528913
22534924,22536289,22528913
22534951,22536292,22528916
22534957,22536297,22528919
22534966,22536312,22528925
22534969,22536318,22528937
22534972,22536318,22528949
22534975,22536342,22528964
22534990,22536354,22528973
22534993,22536360,22528979
22535013,22536366,22528979
22535040,22536372,22528979
22535061,22536381,22528999
22535067,22536390,22529000
22535079,22536399,22529017
22535082,22536426,22529026
22535100,22536443,22529030
22535103,22536455,22529038
22535124,22536464,22529050
22535124,22536488,22529059
22535127,22536494,22529062
22535139,22536494,22529068
22535141,22536545,22529092
22535144,22536554,22529098
22535186,22536560,22529104
22535186,22536563,22529113
22535192,22536566,22529116
22535198,22536583,22529116
22535204,22536592,22529122
22535207,22536595,22529148
22535255,22536625,22529148
22535270,22536631,22529170
22535270,22536634,22529175
22535276,22536637,22529181
22535288,22536643,22529196
22535288,22536670,22529217
22535291,22536691,22529241
22535318,22536708,22529247
22535323,22536718,22529253
22535353,22536720,22529256
22535359,22536741,22529265
22535362,22536747,22529283
22535365,22536756,22529309
22535386,22536765,22529321
22535395,22536768,22529322
22535401,22536771,22529327
22535407,22536792,22529333
22535418,22536798,22529339
22535428,22536807,22529339
22535428,22536816,22529342
22535442,22536834,22529345
22535449,22536839,22529351
22535452,22536857,22529372
22535452,22536870,22529378
22535464,22536896,22529384
22535475,22536914,22529390
22535476,22536935,22529404
22535484,22536938,22529419
22535490,22536953,22529419
22535496,22536953,22529422
22535517,22536959,22529455
22535520,22536980,22529467
22535523,22536980,22529470
22535532,22537007,22529470
22535532,22537009,22529509
22535535,22537012,22529512
22535567,22537030,22529535
22535588,22537036,22529535
22535595,22537039,22529536
22535615,22537039,22529547
22535618,22537042,22529563
22535628,22537042,22529568
22535633,22537060,22529568
22535639,22537063,22529607
22535651,22537063,22529625
22535669,22537069,22529637
22535675,22537072,22529646
