0-BINSEARCH[56](2020){1},0-BINSEARCH[56](2020){4095},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){1792},0-BINSEARCH[56](2020){1920},0-BINSEARCH[56](2020){1984},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){2016},0-BINSEARCH[56](2020){2032},0-BINSEARCH[56](2020){2024},0-BINSEARCH[56](2020){1},0-BINSEARCH[56](2020){4095},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){1792},0-BINSEARCH[56](2020){1920},0-BINSEARCH[56](2020){1984},0-BINSEARCH[56](2020){2048},0-BINSEARCH[56](2020){2016},0-BINSEARCH[56](2020){2032},0-BINSEARCH[56](2020){2024},0-BINSEARCH[56](2020){2020},0-BINSEARCH[56](2020){2016},0-BINSEARCH[56](2020){2018},0-BINSEARCH[56](2020){2019},0-BINSEARCH[57](1900){1},0-BINSEARCH[57](1900){4095},0-BINSEARCH[57](1900){2048},0-BINSEARCH[57](1900){1792},0-BINSEARCH[57](1900){1},0-BINSEARCH[57](1900){4095},0-BINSEARCH[57](1900){2048},0-BINSEARCH[57](1900){1792},0-BINSEARCH[57](1900){1920},0-BINSEARCH[57](1900){1856},0-BINSEARCH[57](1900){1888},0-BINSEARCH[57](1900){1904},0-BINSEARCH[57](1900){1896},0-BINSEARCH[57](1900){1},0-BINSEARCH[57](1900){4095},0-BINSEARCH[57](1900){2048}
12635620,12631199,12631204,12635955,12635794,12634148,12632382,12636085,12631250,12631605,12635745,12625975,12631426,12634396,12635980,12636200,12631628,12633440,12632543,12632558,12626719,12637079,12636977,12635666,12635694,12630307,12630841,12636126,12632668,12625510,12632129,12631237,12631779,12637051,12636808,12632528,12635088,12634669,12629926,12629962
12635648,12631270,12631250,12636080,12635845,12634948,12632410,12636090,12631250,12631628,12635809,12626062,12631431,12634779,12636001,12636269,12631633,12634181,12632594,12632599,12626775,12637092,12636995,12635929,12635845,12630435,12630905,12636136,12633606,12625546,12632216,12631273,12631940,12637051,12636821,12632528,12635226,12634861,12630095,12630483
12635666,12631334,12631449,12636144,12635860,12634958,12632446,12636126,12631495,12631761,12635827,12626098,12631475,12635086,12636162,12636274,12631697,12634429,12632597,12632612,12626811,12637110,12637000,12636103,12635865,12630575,12630971,12636177,12634051,12625717,12632221,12632349,12631945,12637061,12636849,12632548,12635367,12634935,12630179,12630519
12635778,12631347,12631544,12636154,12635919,12634973,12632451,12636164,12631498,12631807,12635845,12626356,12631631,12635257,12636351,12636292,12631710,12635119,12632607,12632620,12626900,12637151,12637051,12636200,12635896,12630703,12631201,12636292,12634130,12625763,12632226,12632395,12632022,12637066,12636880,12632566,12635385,12634943,12630187,12630529
12635786,12631380,12631554,12636159,12635988,12635050,12632484,12636177,12631531,12631807,12635855,12626489,12631633,12635257,12636356,12636302,12631751,12635257,12632653,12632676,12627010,12637202,12637115,12636218,12635970,12631191,12631319,12636711,12634682,12626154,12632290,12632525,12632047,12637069,12636969,12632607,12635390,12635050,12630312,12630601
12635791,12631408,12631600,12636187,12636052,12635377,12632543,12636297,12631531,12631848,12635865,12626568,12631720,12635533,12636402,12636315,12631889,12635262,12632658,12632732,12627496,12637212,12637125,12636310,12635978,12631260,12631416,12636770,12634948,12626218,12632290,12632574,12632065,12637110,12636977,12632612,12635441,12635063,12630381,12630749
12635794,12631498,12631618,12636241,12636072,12635602,12632551,12636361,12631536,12631881,12635896,12626627,12631771,12635548,12636453,12636328,12631909,12635584,12632668,12632755,12628209,12637245,12637143,12636338,12636026,12631296,12631439,12636780,12635505,12626259,12632318,12633008,12632073,12637120,12636982,12632617,12635587,12635129,12630394,12630785
12635801,12631590,12631687,12636261,12636167,12635630,12632553,12636374,12631613,12631940,12636044,12626640,12631779,12635791,12636461,12636351,12631922,12635891,12632727,12632755,12628275,12637281,12637189,12636389,12636047,12631306,12631457,12636862,12635510,12626338,12632323,12635109,12632073,12637130,12636987,12632630,12635589,12635165,12630404,12630831
12635822,12631715,12631746,12636320,12636200,12635671,12632620,12636394,12631687,12632045,12636080,12626770,12631784,12635791,12636637,12636412,12631945,12635891,12632796,12632778,12628334,12637294,12637189,12636476,12636113,12631360,12631480,12636923,12635556,12626361,12632346,12635722,12632106,12637138,12637028,12632645,12635625,12635173,12630435,12630897
12635855,12631720,12631761,12636320,12636200,12635676,12632645,12636425,12631812,12632073,12636090,12627005,12631830,12635845,12636691,12636491,12631955,12636167,12632893,12632796,12630823,12637304,12637199,12636476,12636116,12631582,12631539,12636954,12635592,12626402,12632418,12635845,12632124,12637148,12637041,12632653,12635648,12635203,12630450,12630951
