0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1920},0-BINSEARCH[56](1935){1984},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1568},0-BINSEARCH[56](1935){1680},0-BINSEARCH[56](1935){1736},0-BINSEARCH[56](1935){1792},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){1},0-BINSEARCH[56](1935){4095},0-BINSEARCH[56](1935){2048},0-BINSEARCH[56](1935){1792}
14135092,14132327,14132851,14136840,14131798,14132935,14137014,14136784,14132981,14145386,14141489,14141836,14137318,14145322,14145902,14145833,14146071,14136574,14141361,14145028,14142115,14133623,14146868
14135115,14132337,14132856,14136845,14131803,14132943,14137024,14136817,14133007,14145414,14141499,14141872,14137336,14145368,14145915,14145851,14146081,14136618,14141361,14145041,14142189,14133643,14146955
14135123,14132363,14132861,14136858,14131808,14132948,14137037,14136863,14133027,14145427,14141517,14141872,14137351,14145391,14145933,14145897,14146109,14136633,14141376,14145046,14142189,14133715,14146996
14135169,14132368,14132879,14136866,14131816,14132981,14137042,14136899,14133053,14145483,14141532,14141941,14137369,14145414,14145933,14145930,14146214,14136633,14141389,14145051,14142204,14133725,14147042
14135207,14132368,14132884,14136881,14131854,14132989,14137047,14137032,14133096,14145501,14141601,14141951,14137374,14145488,14145938,14145943,14146219,14136646,14141389,14145059,14142207,14133740,14147052
14135217,14132386,14132897,14136886,14131903,14133007,14137060,14137060,14133109,14145514,14141619,14141956,14137392,14145529,14145981,14145974,14146232,14136661,14141440,14145079,14142286,14133745,14147080
14135243,14132483,14132920,14136909,14131949,14133040,14137075,14137088,14133160,14145598,14141632,14141997,14137400,14145611,14146012,14145989,14146242,14136705,14141458,14145138,14142294,14133768,14147088
14135276,14132496,14132948,14136922,14131982,14133086,14137101,14137096,14133160,14145598,14141650,14142002,14137425,14145634,14146022,14145999,14146242,14136720,14141535,14145138,14142296,14133781,14147103
14135325,14132498,14132958,14136942,14131990,14133109,14137129,14137124,14133163,14145603,14141670,14142041,14137428,14145636,14146022,14146020,14146255,14136743,14141537,14145161,14142309,14133863,14147124
14135386,14132506,14132961,14136973,14132061,14133119,14137134,14137142,14133188,14145636,14141693,14142102,14137428,14145639,14146025,14146035,14146265,14136753,14141560,14145217,14142319,14133906,14147126
14135386,14132516,14132984,14136978,14132092,14133280,14137162,14137144,14133206,14145644,14141706,14142102,14137443,14145662,14146040,14146035,14146275,14136766,14141565,14145240,14142324,14133975,14147208
14135396,14132516,14133022,14136996,14132092,14133311,14137175,14137162,14133234,14145680,14141716,14142120,14137456,14145690,14146043,14146053,14146306,14136784,14141596,14145243,14142345,14134016,14147221
14135404,14132549,14133032,14136996,14132107,14133311,14137185,14137172,14133288,14145690,14141729,14142130,14137525,14145731,14146058,14146053,14146306,14136789,14141596,14145243,14142350,14134080,14147223
