0-BINSEARCH[56](2042){1},0-BINSEARCH[56](2042){4095},0-BINSEARCH[56](2042){2048},0-BINSEARCH[56](2042){1792},0-BINSEARCH[56](2042){1920},0-BINSEARCH[56](2042){1},0-BINSEARCH[56](2042){4095},0-BINSEARCH[56](2042){2048},0-BINSEARCH[56](2042){1792},0-BINSEARCH[56](2042){1920},0-BINSEARCH[56](2042){1856},0-BINSEARCH[56](2042){1888},0-BINSEARCH[56](2042){1904},0-BINSEARCH[56](2042){1896},0-BINSEARCH[56](2042){1892},0-BINSEARCH[56](2042){1892},0-BINSEARCH[56](2042){1894},0-BINSEARCH[56](2042){1894},0-BINSEARCH[56](2042){1895},0-BINSEARCH[56](2042){1895},0-BINSEARCH[56](2042){1894}
14157581,14154583,14155079,14158496,14158401,14159610,14154512,14147364,14159196,14150147,14159733,14160497,14149646,14150359,14156050,14159646,14156163,14159071,14151798,14150451,14148795
14157586,14154591,14155135,14158516,14158409,14159615,14154537,14147379,14159196,14150152,14159761,14160502,14149710,14150392,14156073,14159664,14156183,14159089,14151864,14150451,14148810
14157591,14154599,14155151,14158519,14158455,14159623,14154553,14147502,14159199,14150157,14159784,14160558,14149794,14150410,14156122,14159687,14156224,14159127,14151877,14150479,14148823
14157673,14154619,14155166,14158547,14158552,14159638,14154568,14147520,14159199,14150165,14159789,14160584,14149807,14150456,14156155,14159692,14156298,14159130,14151887,14150533,14148841
14157678,14154637,14155179,14158547,14158570,14159641,14154581,14147545,14159242,14150175,14159881,14160594,14149822,14150459,14156495,14159692,14156444,14159163,14151900,14150538,14148956
14157678,14154673,14155179,14158560,14158570,14159674,14154601,14147548,14159247,14150216,14159891,14160599,14149825,14150510,14156523,14159720,14156472,14159168,14151964,14150543,14148961
14157688,14154673,14155189,14158588,14158698,14159674,14154683,14147553,14159260,14150231,14159935,14160604,14149853,14150530,14156569,14159738,14156587,14159237,14151982,14150584,14148964
14157696,14154688,14155197,14158621,14158703,14159697,14154714,14147576,14159316,14150257,14159950,14160640,14149853,14150589,14156587,14159812,14156656,14159329,14152038,14150589,14149002
14157709,14154701,14155197,14158621,14158718,14159707,14154757,14147614,14159321,14150257,14159988,14160640,14149868,14150599,14156661,14159850,14156656,14159337,14152102,14150607,14149012
14157737,14154716,14155235,14158657,14158721,14159715,14154775,14147637,14159329,14150267,14160006,14160648,14149868,14150612,14156666,14159858,14156679,14159370,14152125,14150630,14149061
14157760,14154729,14155291,14158670,14158754,14159771,14154798,14147719,14159342,14150280,14160009,14160676,14149868,14150645,14156707,14159889,14156707,14159385,14152140,14150635,14149089
14157852,14154744,14155309,14158700,14158769,14159794,14154808,14147773,14159362,14150300,14160019,14160691,14149909,14150653,14156717,14159919,14156758,14159393,14152148,14150640,14149104
14157862,14154752,14155360,14158716,14158772,14159799,14154844,14147783,14159362,14150308,14160037,14160704,14149917,14150666,14156768,14159922,14156776,14159426,14152153,14150686,14149112
14157921,14154785,14155373,14158754,14158772,14159812,14154880,14147783,14159362,14150318,14160042,14160709,14149930,14150673,14156965,14160001,14156789,14159431,14152230,14150699,14149130
14157934,14154844,14155378,14158790,14158777,14159827,14154946,14147783,14159398,14150328,14160065,14160719,14150014,14150681,14157011,14160019,14156794,14159439,14152230,14150709,14149135
14158023,14154867,14155437,14158800,14158790,14159830,14154949,14147788,14159411,14150369,14160101,14160793,14150014,14150704,14157011,14160047,14156804,14159523,14152283,14150768,14149148
14158064,14154900,14155447,14158846,14158818,14159835,14154995,14147806,14159421,14150397,14160103,14160811,14150024,14150745,14157042,14160093,14156881,14159526,14152345,14150768,14149163
14158082,14154908,14155483,14158851,14158828,14159871,14154997,14147844,14159467,14150400,14160106,14160832,14150029,14150760,14157057,14160134,14156906,14159559,14152345,14150783,14149176
14158082,14154913,14155493,14158864,14158864,14159909,14155000,14147865,14159482,14150410,14160111,14160834,14150037,14150814,14157057,14160190,14156906,14159610,14152350,14150811,14149196
14158110,14154918,14155498,14158902,14158864,14159912,14155000,14147875,14159513,14150443,14160129,14160880,14150042,14150852,14157065,14160226,14156914,14159623,14152388,14150875,14149219
14158156,14154954,14155506,14158938,14158905,14159912,14155005,14147875,14159528,14150451,14160139,14160888,14150088,14150883,14157080,14160241,14156950,14159646,14152398,14150962,14149224
14158202,14154954,14155565,14158938,14158910,14159942,14155015,14147880,14159541,14150479,14160144,14160893,14150106,14150901,14157098,14160244,14156993,14159646,14152414,14150970,14149268
14158220,14154995,14155595,14158943,14158925,14159973,14155023,14147888,14159541,14150489,14160152,14160908,14150111,14150957,14157126,14160249,14157006,14159679,14152416,14150985,14149270
14158261,14154997,14155631,14158961,14158933,14159978,14155097,14147985,14159546,14150497,14160157,14160916,14150114,14150965,14157175,14160341,14157006,14159702,14152424,14150985,14149270
14158266,14155005,14155659,14158969,14158961,14159996,14155102,14147990,14159546,14150497,14160180,14160934,14150139,14150990,14157195,14160364,14157019,14159725,14152434,14150998,14149278
14158266,14155028,14155664,14158974,14158979,14160001,14155102,14147990,14159546,14150512,14160180,14160944,14150144,14150990,14157203,14160438,14157021,14159725,14152452,14150998,14149291
14158281,14155033,14155705,14158994,14158989,14160014,14155105,14148000,14159559,14150533,14160180,14160954,14150152,14150995,14157236,14160443,14157057,14159725,14152493,14151026,14149301
14158294,14155056,14155718,14159007,14158994,14160027,14155110,14148008,14159587,14150553,14160203,14160975,14150208,14150998,14157236,14160456,14157057,14159733,14152531,14151036,14149319
14158307,14155064,14155751,14159020,14159015,14160042,14155125,14148059,14159587,14150556,14160216,14160975,14150221,14151013,14157246,14160456,14157083,14159774,14152544,14151039,14149334
14158325,14155066,14155764,14159030,14159035,14160088,14155133,14148069,14159628,14150576,14160218,14160977,14150221,14151054,14157249,14160469,14157108,14159776,14152554,14151044,14149357
