0-NOMOD,0-MINOR[63],0-MAJOR[63]
4858,4863,156
4858,4866,156
4858,4866,156
4858,4866,156
4858,4866,156
4858,4866,156
4858,4866,156
4861,4868,156
4861,4868,156
4861,4868,156
4861,4871,156
4863,4871,156
4863,4871,156
4863,4871,156
4863,4871,156
4863,4871,156
4866,4871,156
4866,4871,156
4866,4871,156
4866,4871,156
4866,4871,156
4868,4871,161
4868,4871,161
4868,4871,161
4868,4876,161
4871,4876,161
4871,4876,161
4871,4876,161
4871,4876,161
4871,4876,161
4871,4876,161
4871,4876,161
4871,4881,161
4876,4881,161
4876,4881,161
4876,4881,161
4876,4881,161
4876,4881,161
4876,4881,161
4876,4881,161
4876,4881,161
4876,4881,161
4881,4881,161
4881,4881,161
4881,4884,161
4881,4884,161
4881,4884,161
4881,4884,161
4881,4886,161
4884,4886,161
4884,4886,161
4886,4886,161
4886,4886,161
4886,4886,161
4889,4889,161
4889,4889,161
4889,4889,161
4889,4889,161
4889,4889,161
4894,4891,161
4894,4894,161
4894,4894,161
4894,4894,161
4894,4894,161
4894,4894,161
4899,4894,161
4899,4894,161
4899,4894,161
4899,4894,161
4899,4894,161
4899,4894,166
4904,4894,166
4904,4894,166
4904,4899,166
4904,4899,166
4907,4899,166
4907,4899,166
4907,4899,166
4909,4899,166
4909,4899,166
4909,4899,166
4909,4899,166
4909,4899,166
4912,4899,166
4912,4899,166
4912,4899,166
4912,4899,166
4912,4904,166
4912,4904,166
4912,4904,166
4912,4904,166
4914,4904,166
4914,4904,166
4917,4907,166
4917,4909,169
4917,4909,169
4917,4909,169
4917,4909,169
4922,4909,169
4922,4909,169
4922,4909,169
4922,4912,169
4922,4912,169
4922,4912,169
4922,4912,169
4922,4912,169
4922,4912,169
4922,4912,171
4927,4914,171
4927,4917,171
4927,4917,171
4927,4917,171
4927,4917,171
4927,4917,174
4927,4917,174
4927,4917,174
4927,4917,174
4927,4922,174
4930,4922,174
4930,4922,174
4930,4922,174
4932,4922,174
4932,4922,174
4932,4927,174
