0-NOMOD,0-MINOR[63],0-MAJOR[63]
14152153,14152002,14148726
14152171,14152005,14148726
14152176,14152007,14148736
14152176,14152020,14148736
14152176,14152025,14148736
14152181,14152033,14148739
14152181,14152033,14148754
14152186,14152033,14148762
14152189,14152038,14148762
14152194,14152038,14148777
14152194,14152043,14148785
14152199,14152048,14148795
14152199,14152051,14148808
14152204,14152061,14148828
14152222,14152084,14148833
14152222,14152089,14148841
14152232,14152097,14148846
14152235,14152097,14148851
14152240,14152107,14148869
14152240,14152107,14148869
14152245,14152112,14148882
14152263,14152130,14148892
14152263,14152135,14148897
14152263,14152158,14148897
14152283,14152158,14148900
14152286,14152163,14148915
14152286,14152166,14148918
14152301,14152171,14148920
14152301,14152176,14148920
14152309,14152181,14148928
14152309,14152181,14148948
14152314,14152186,14148956
14152314,14152191,14148984
14152314,14152194,14148997
14152319,14152194,14149015
14152319,14152194,14149030
14152319,14152199,14149048
14152327,14152217,14149053
14152337,14152222,14149058
14152355,14152227,14149081
14152360,14152235,14149089
14152360,14152237,14149094
14152365,14152245,14149094
14152393,14152245,14149099
14152396,14152250,14149099
14152398,14152255,14149104
14152411,14152263,14149107
14152411,14152268,14149117
14152419,14152273,14149122
14152447,14152291,14149125
14152447,14152301,14149148
14152452,14152324,14149168
14152452,14152324,14149181
14152457,14152332,14149199
14152460,14152332,14149209
14152483,14152337,14149224
14152488,14152337,14149227
14152488,14152342,14149237
14152498,14152342,14149240
14152498,14152345,14149242
14152503,14152347,14149242
14152503,14152355,14149250
14152506,14152355,14149250
14152506,14152373,14149268
14152521,14152383,14149273
14152521,14152416,14149278
14152539,14152424,14149283
14152539,14152429,14149288
14152539,14152429,14149291
14152549,14152442,14149296
14152554,14152444,14149319
14152562,14152452,14149329
14152575,14152462,14149365
14152585,14152465,14149380
14152585,14152467,14149398
14152590,14152493,14149411
14152590,14152503,14149411
14152590,14152503,14149411
14152595,14152503,14149416
14152595,14152506,14149416
14152608,14152508,14149426
14152613,14152511,14149444
14152613,14152526,14149444
14152618,14152531,14149457
14152623,14152534,14149462
14152626,14152580,14149485
14152636,14152582,14149485
14152636,14152582,14149490
14152636,14152585,14149495
14152636,14152590,14149503
14152641,14152595,14149518
14152651,14152603,14149526
14152651,14152605,14149526
14152654,14152626,14149564
14152672,14152628,14149564
14152677,14152636,14149569
14152677,14152636,14149572
14152692,14152641,14149582
14152692,14152646,14149585
14152705,14152646,14149600
14152713,14152664,14149605
14152728,14152672,14149605
14152728,14152687,14149610
14152746,14152695,14149618
14152746,14152705,14149623
14152751,14152718,14149631
14152761,14152733,14149651
14152761,14152736,14149651
14152761,14152751,14149664
14152764,14152769,14149664
14152769,14152779,14149669
14152774,14152792,14149679
14152774,14152792,14149687
14152784,14152802,14149692
14152815,14152820,14149702
14152820,14152848,14149723
14152838,14152858,14149728
14152843,14152866,14149746
14152851,14152871,14149756
14152866,14152874,14149756
14152871,14152881,14149761
14152871,14152889,14149774
14152871,14152894,14149774
14152874,14152902,14149779
14152876,14152925,14149784
14152876,14152930,14149784
14152884,14152930,14149789
14152884,14152930,14149792
14152894,14152935,14149815
14152907,14152935,14149820
14152907,14152935,14149820
14152907,14152935,14149830
14152912,14152935,14149830
14152925,14152958,14149835
14152930,14152963,14149853
14152935,14152971,14149853
14152958,14152973,14149876
14152963,14152981,14149884
14152976,14152981,14149904
14152981,14153014,14149904
14152981,14153022,14149917
14153009,14153045,14149917
14153017,14153050,14149922
14153022,14153073,14149935
